Gene ID	ERR1024545	ERR1024546	ERR1024547	ERR1024548	ERR1024549	ERR1024550	ERR1024551	ERR1024552	ERR2014658	ERR2014659	ERR999698	ERR999699	ERR999700	ERR999701	ERR999702	ERR999703	ERR999704	ERR999705
ENSG00000160703	249	510	294	123	139	887	188	210	697	856	191	443	253	91	125	793	161	198
ENSG00000160710	6532	7313	7965	5932	6029	10756	13641	12247	26149	34837	5659	6396	6948	5152	5104	9511	12135	10535
ENSG00000160712	25	128	274	229	112	40	72	40	166	162	19	122	214	208	81	40	49	36
ENSG00000160714	2790	1604	1663	1520	1338	3155	2594	1950	4909	6965	2344	1439	1378	1323	1218	2772	2178	1775
ENSG00000160716	0	0	0	2	2	1	1	2	1	4	0	1	0	2	1	0	1	0
ENSG00000160741	1185	577	670	570	480	1060	750	789	1987	2516	1007	521	608	542	448	1001	676	677
ENSG00000160746	1571	919	829	898	794	1514	1125	911	2211	2740	1287	793	746	812	642	1345	914	838
ENSG00000160752	1676	2612	2015	1813	2357	2501	2979	2571	11540	16935	1490	2284	1755	1637	2006	2195	2578	2158
ENSG00000160753	1181	262	251	478	357	747	1187	1063	3284	3584	1016	236	235	391	338	629	1020	966
ENSG00000160766	91	74	44	38	14	265	242	158	397	526	68	46	48	26	10	209	212	175
ENSG00000160767	835	760	685	932	1276	2142	1722	1745	3279	4916	682	643	581	788	1094	1790	1494	1479
ENSG00000160781	48	8	4	10	4	25	35	29	75	125	52	9	2	5	2	24	33	22
ENSG00000160783	524	595	542	215	267	433	449	439	1559	1785	455	537	451	190	214	446	410	372
ENSG00000160785	745	659	562	870	629	806	1072	879	2672	3241	692	552	515	754	571	677	931	864
ENSG00000160789	5803	9687	5411	3988	2939	2148	3392	4014	28670	34037	4879	8219	4760	3610	2536	1821	2928	3477
ENSG00000160791	0	0	0	0	0	0	0	0	1	4	0	1	0	2	1	0	0	0
ENSG00000160796	4082	1479	1488	2242	1739	5889	922	1292	2961	3942	3503	1334	1219	1945	1433	4931	806	1098
ENSG00000160799	655	569	485	440	456	855	493	506	1784	2429	579	479	414	364	431	700	474	419
ENSG00000160801	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000160803	2625	2278	2460	2042	1713	2619	2249	1922	5102	7067	2295	2025	2065	1791	1526	2327	1948	1742
ENSG00000160808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160813	728	213	181	231	332	456	660	658	1251	1640	640	165	147	193	261	447	605	516
ENSG00000160818	1016	1452	1206	1471	1059	1698	1406	1223	1870	3195	788	1288	1109	1261	920	1413	1210	987
ENSG00000160838	9	4	1	0	0	2	15	5	9	18	9	1	0	2	0	5	19	12
ENSG00000160856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160862	0	9	11	24	14	2	3	1	1667	1812	0	16	8	25	7	1	4	1
ENSG00000160867	303	90	91	188	303	38	7	8	46	78	196	79	72	139	258	28	8	8
ENSG00000160868	0	1	0	1	1	2	20	20	17	37	1	0	0	0	1	1	19	18
ENSG00000160870	2	1	0	2	0	9	12	6	36	26	3	1	0	0	1	1	11	5
ENSG00000160877	3541	3373	2770	5653	5709	2044	8019	8147	5905	7080	3201	2856	2481	5003	4823	1881	7031	6974
ENSG00000160882	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000160883	0	1	0	2	0	0	0	0	0	1	0	2	0	4	0	0	0	1
ENSG00000160886	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0
ENSG00000160888	5078	958	1401	2260	1861	1659	3843	4023	1523	19603	4636	783	1184	2110	1508	1337	3383	3382
ENSG00000160908	422	293	276	361	327	470	454	419	878	1363	363	278	234	290	264	407	450	383
ENSG00000160917	1866	667	541	437	579	805	2176	1770	2496	3160	1622	615	510	419	495	704	1926	1636
ENSG00000160932	2144	4069	2502	5021	5503	10709	6374	7548	11590	17660	1876	3607	2153	4521	4871	9581	5623	6687
ENSG00000160948	1878	1409	1151	877	1050	2443	3064	2606	4977	5954	1668	1239	988	717	862	2113	2663	2389
ENSG00000160949	1362	1111	1093	1111	1036	2127	3454	3238	10349	16718	1167	1020	963	965	974	1844	2996	2797
ENSG00000160951	14	33	12	10	30	164	7	19	99	69	7	20	18	18	19	159	8	12
ENSG00000160953	768	593	654	426	361	546	722	634	1495	1964	669	528	571	391	303	457	669	577
