Gene ID	ERR2619174	ERR2619175	ERR2619176	ERR2619177	ERR2619178	ERR2619179	ERR2619180	ERR2619181	ERR2619182	ERR2619183	ERR2619184	ERR2619185	ERR2619186	ERR2619187	ERR2619188	ERR2619189	ERR2619190	ERR2619191
ENSG00000008118	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	5	4	0
ENSG00000008128	374	404	282	259	277	231	181	173	224	223	147	179	151	185	168	167	204	166
ENSG00000008130	3817	4443	4490	4109	5866	5314	3588	3461	2168	2080	1974	1925	6363	4375	6527	6757	6105	6256
ENSG00000008196	2	2	12	8	0	0	0	0	19	19	16	20	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	1	0	5	2	6	7	3	2	5	8	27	10	22	9	11	13	24	15
ENSG00000008256	771	831	625	577	458	368	236	255	279	265	183	188	222	303	342	268	488	310
ENSG00000008277	716	794	671	649	336	363	229	190	732	708	356	467	4	7	14	5	23	19
ENSG00000008282	2017	2244	2009	1882	2826	2760	2263	2074	2806	2632	2291	2472	3889	3628	4928	3972	4196	3583
ENSG00000008283	397	474	204	186	470	510	314	295	98	103	72	69	993	1036	848	1058	821	602
ENSG00000008294	2715	3095	3309	2961	4617	4535	3854	3749	3221	2926	3049	3065	2347	1684	3112	3096	3137	2742
ENSG00000008300	243	269	399	312	737	712	556	503	307	329	476	456	42	77	69	66	61	55
ENSG00000008311	346	389	592	502	861	924	592	549	541	508	1091	1017	448	291	436	456	352	318
ENSG00000008323	199	238	747	691	1123	1139	751	758	605	577	1322	1324	460	292	328	335	280	234
ENSG00000008324	446	498	599	517	791	715	496	443	867	889	806	814	327	399	445	414	373	427
ENSG00000008382	703	792	826	765	472	433	321	318	493	521	508	473	1069	693	1309	1004	909	1082
ENSG00000008394	5211	5798	7610	7632	6990	6185	5326	5112	4072	4013	5947	5175	77527	54452	88415	76124	47477	57579
ENSG00000008405	769	862	780	750	915	797	692	654	1760	1662	1486	1497	671	662	925	1017	1071	985
ENSG00000008438	0	2	0	0	1	1	0	0	0	1	1	1	0	0	4	0	0	0
ENSG00000008441	938	1108	700	704	1445	1363	1091	974	87	84	42	39	1320	873	1092	1199	1503	1244
ENSG00000008513	21	16	23	32	2740	2818	2001	1992	976	941	3527	3374	4739	3895	4355	5874	3842	4486
ENSG00000008516	3	3	1	1	1	1	2	2	2	3	1	4	21	24	28	25	82	22
ENSG00000008517	648	729	33	26	3833	4619	3013	2941	3105	3155	1420	1316	14966	19906	19469	18029	14250	19952
ENSG00000008710	899	1076	872	734	1429	1378	1200	1131	1331	1334	1217	1366	2098	1360	2302	1575	2036	1831
ENSG00000008735	30	32	20	16	448	424	182	218	338	302	1063	993	52	44	137	95	134	120
ENSG00000008838	3037	3246	3227	3074	4689	4366	3232	3023	2424	2506	2529	2316	1275	1041	1538	1475	1476	1470
ENSG00000008853	324	377	356	337	584	623	361	342	668	648	708	696	341	192	324	443	541	362
ENSG00000008869	813	882	1025	909	1186	1068	909	827	710	622	684	804	498	343	574	689	752	587
